CI,ISF,NASDAQ,NYSE,Other,one_m_diff_volume,three_m_diff_volume,six_m_diff_volume,one_y_diff_volume,two_y_diff_volume,three_y_diff_volume,one_m_diff_shareprice,three_m_diff_shareprice,six_m_diff_shareprice,one_y_diff_shareprice,two_y_diff_shareprice,three_y_diff_shareprice,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),Sharing Firm Introduced,Relatedness with Sharing Firm,Exchange
1,0,1,0,0,-57.84170609930197,-66.38250706628541,-71.33495067012745,-51.526293442853444,-43.29067725252555,-5.139060712071682,3.1868882312770284,17.25297465080187,69.7752808988764,150.99667774086382,33.559222156747204,17.49611197511664,2009-12-31,2009-12-31,2009-12-31,2009-12-31,2009-12-31,2009-12-31,No,Closely Related,NASDAQ
1,1,1,0,0,223.7538442493341,62.257298585805664,218.10851057245037,-6.649066908111554,15.037357502772753,58.442018319966785,-3.6840944187072613,12.46415177586587,10.434590778733739,61.681005956320334,41.87072578866094,62.98786675490846,2010-01-31,2010-12-31,2011-12-31,2010-03-31,2012-12-31,2010-06-30,Yes,Closely Related,NASDAQ
0,0,0,1,0,-61.32217505696285,3.1881233553050885,-19.50449893050964,16.200155025406943,-14.247377638839193,-52.27580894288173,0.6475788980619359,-10.141351622616266,2.8689064164402476,7.930129468938745,-23.05598825446277,-8.694174138443893,2009-12-31,2009-12-31,2009-12-31,2009-12-31,2009-12-31,2009-12-31,No,Less Closely Related,NYSE
0,1,0,1,0,257.9531354657355,43.14298733954827,-19.11612917394121,15.663054100646749,23.53493428204368,199.3065849721646,-0.07213664075952625,10.214315632708153,20.142411690789775,29.89947410061899,39.860147996462985,22.95574068041142,2010-01-31,2010-12-31,2011-12-31,2010-03-31,2012-12-31,2010-06-30,Yes,Less Closely Related,NYSE
1,0,0,1,0,116.85590806492874,12.19227991660223,49.97137464112027,123.15455423143243,112.0748922492383,226.85207451283605,-6.7270375161707685,18.780889621087308,161.23188405797103,38.653846153846146,-15.076560659599531,-10.877626699629172,2009-09-30,2009-09-30,2009-09-30,2009-09-30,2009-09-30,2009-09-30,No,Closely Related,NYSE
1,1,0,1,0,-0.23143925688665387,-51.334112550792256,48.036522066804835,-55.52334150900297,-40.78761544451244,-53.5281627086088,-2.9126213592233006,38.55755894590847,84.1886269070735,69.76421636615811,34.11927877947296,36.75450762829403,2009-10-30,2010-09-30,2011-09-30,2009-12-30,2012-09-30,2010-03-30,Yes,Closely Related,NYSE
0,0,0,1,0,106.68900395979288,29.78448308838718,-54.23694064074758,-34.993121472119924,-1.5438189204875217,-53.38279747183292,7.563764291996493,46.029850746268664,82.53731343283583,31.717824448034467,-52.86182308730005,-1.6485725774024935,2009-09-30,2009-09-30,2009-09-30,2009-09-30,2009-09-30,2009-09-30,No,Less Closely Related,NYSE
0,1,0,1,0,167.12921480782833,-35.04539023815138,46.69004951662344,-25.356637585475124,9.202428672482906,-47.390356048101864,-24.570727718724452,-23.221586263286998,-8.544562551103843,16.271463614063777,-7.27718724448079,-2.698282910874898,2009-10-30,2010-09-30,2011-09-30,2009-12-30,2012-09-30,2010-03-30,Yes,Less Closely Related,NYSE
1,0,0,1,0,-54.678701556806885,-44.839750050393064,-56.63232963549921,-43.99877212728947,-37.01956271576525,-74.55602045560205,3.9209679889722593,16.03527061785147,26.75987923716146,37.151612668483224,94.79885618475599,91.78802406042239,2004-12-31,2004-12-31,2004-12-31,2004-12-31,2004-12-31,2004-12-31,No,Closely Related,NYSE
1,1,0,1,0,99.72592727937146,267.07473049515806,87.64845605700712,45.112369815457704,7.6923076923076925,27.08925634935136,-1.7591746499631382,9.81341193809875,10.385851142225505,-0.6361090641119954,24.629034635224773,62.22962417096538,2005-01-31,2005-12-31,2006-12-31,2005-03-31,2007-12-31,2005-06-30,Yes,Closely Related,NYSE
